id,type,x,y,key,lon,lat,OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data,nodes_tract,pop_tract,median_inc,stops_tract
"11",FWJCT,"2667","19133","10",6332304.000030000694096,2195030.999844000209123,14185,"06","019","004404","1","060190044041",Block Group 1,G5030,S,1675319.000000000000000,0.000000000000000,"+36.8468711","-119.7939614",0.069242536114870,0.000169261251048,15000US060190044041,81.000000000000000,1931.000000000000000,39191.000000000000000,15.000000000000000
"12",FWJCT,"10161","49777","11",6332550.934890853241086,2163312.644598733168095,22701,"06","019","003400","3","060190034003",Block Group 3,G5030,S,418644.999999999941792,0.000000000000000,"+36.7697458","-119.7834630",0.045242295720209,0.000042254626255,15000US060190034003,34.000000000000000,849.000000000000000,39750.000000000000000,6.000000000000000
"13",FWJCT,"7537","54058","12",6332550.934890853241086,2163312.644598733168095,22701,"06","019","003400","3","060190034003",Block Group 3,G5030,S,418644.999999999941792,0.000000000000000,"+36.7697458","-119.7834630",0.045242295720209,0.000042254626255,15000US060190034003,34.000000000000000,849.000000000000000,39750.000000000000000,6.000000000000000
"14",FWJCT,"7707","54627","13",6331517.000029999762774,2194472.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"15",FWJCT,"7355","57837","14",6331368.000029999762774,2195004.999844000209123,7257,"06","019","004408","2","060190044082",Block Group 2,G5030,S,4548519.000000000000000,29341.000000000000000,"+36.8626333","-119.7952018",0.126487835456578,0.000462606117763,15000US060190044082,54.000000000000000,1849.000000000000000,66653.000000000000000,1.000000000000000
"16",FWJCT,"7411","57551","15",6335181.559501389041543,2158660.499136870261282,18477,"06","019","002400","2","060190024002",Block Group 2,G5030,S,651808.000000000000000,0.000000000000000,"+36.7540456","-119.7769916",0.032574441712821,0.000065775557605,15000US060190024002,56.000000000000000,1068.000000000000000,14243.000000000000000,7.000000000000000
"17",FWJCT,"6006","34257","16",6336331.820850754156709,2158845.552718724124134,18492,"06","019","002502","1","060190025021",Block Group 1,G5030,S,325211.000000000058208,0.000000000000000,"+36.7540787","-119.7702214",0.023542873246352,0.000032817634209,15000US060190025021,20.000000000000000,1505.000000000000000,21600.000000000000000,3.000000000000000
"18",FWJCT,"5699","28994","17",6335583.079275343567133,2158793.667718462180346,18492,"06","019","002502","1","060190025021",Block Group 1,G5030,S,325211.000000000058208,0.000000000000000,"+36.7540787","-119.7702214",0.023542873246352,0.000032817634209,15000US060190025021,20.000000000000000,1505.000000000000000,21600.000000000000000,3.000000000000000
"19",FWJCT,"4049","34256","18",6332585.049163496121764,2149470.795819285791367,2018,"06","019","000400","3","060190004003",Block Group 3,G5030,S,2114315.000000000000000,0.000000000000000,"+36.7260321","-119.7806389",0.073755919146412,0.000213283565799,15000US060190004003,89.000000000000000,1483.000000000000000,20750.000000000000000,11.000000000000000
"20",FWJCT,"6477","49560","19",6332826.632583584636450,2149838.656460206490010,2018,"06","019","000400","3","060190004003",Block Group 3,G5030,S,2114315.000000000000000,0.000000000000000,"+36.7260321","-119.7806389",0.073755919146412,0.000213283565799,15000US060190004003,89.000000000000000,1483.000000000000000,20750.000000000000000,11.000000000000000
"21",FWJCT,"2794","24391","20",6332350.788530916906893,2149261.769610347691923,2018,"06","019","000400","3","060190004003",Block Group 3,G5030,S,2114315.000000000000000,0.000000000000000,"+36.7260321","-119.7806389",0.073755919146412,0.000213283565799,15000US060190004003,89.000000000000000,1483.000000000000000,20750.000000000000000,11.000000000000000
"22",FWJCT,"18781","53215","21",6333455.141263960860670,2163413.443409733939916,18287,"06","019","003400","2","060190034002",Block Group 2,G5030,S,580171.000000000000000,0.000000000000000,"+36.7689546","-119.7766907",0.030553744675817,0.000058557242456,15000US060190034002,22.000000000000000,1672.000000000000000,17434.000000000000000,7.000000000000000
"23",FWJCT,"7519","55971","22",6333555.634942968375981,2163211.658820433076471,18287,"06","019","003400","2","060190034002",Block Group 2,G5030,S,580171.000000000000000,0.000000000000000,"+36.7689546","-119.7766907",0.030553744675817,0.000058557242456,15000US060190034002,22.000000000000000,1672.000000000000000,17434.000000000000000,7.000000000000000
"24",FWJCT,"3779","17177","23",6333558.132351671345532,2163089.532585553359240,18287,"06","019","003400","2","060190034002",Block Group 2,G5030,S,580171.000000000000000,0.000000000000000,"+36.7689546","-119.7766907",0.030553744675817,0.000058557242456,15000US060190034002,22.000000000000000,1672.000000000000000,17434.000000000000000,7.000000000000000
"25",FWJCT,"7606","50554","24",6331788.885182764381170,2166181.381122432183474,18288,"06","019","003400","4","060190034004",Block Group 4,G5030,S,590924.000000000000000,0.000000000000000,"+36.7759556","-119.7810761",0.030672913002226,0.000059648282224,15000US060190034004,24.000000000000000,1265.000000000000000,42500.000000000000000,9.000000000000000
"26",FWJCT,"7234","50070","25",6332156.636962829157710,2164387.689781018998474,22701,"06","019","003400","3","060190034003",Block Group 3,G5030,S,418644.999999999941792,0.000000000000000,"+36.7697458","-119.7834630",0.045242295720209,0.000042254626255,15000US060190034003,34.000000000000000,849.000000000000000,39750.000000000000000,6.000000000000000
